Curriculum,Biochemistry,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,,,4,,,1
2,MATH 122A,,,,,,1,,,1
3,MATH 122B,,,,,,4,,,1
4,English Composition,ENGL,101,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,General Chemistry II,CHEM,152,,,,4,,,2
7,Calculus II or MATH 263 Biostatistics,MATH,129,,,,3,,,2
8,English Composition II,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Organic Chemistry Lecture I,CHEM,241A,,,,3,,,3
11,Organic Chemistry Lab I,CHEM,243A,,,,1,,,3
12,Introductory Biology I,MCB,181R,,,,3,,,3
13,Introductory Biology Lab I,MCB,181L,,,,1,,,3
14,Tier I General Education,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Organic Chemistry Lecture II,CHEM,241B,,,,3,,,4
17,Organic Chemistry Lab II,CHEM,243B,,,,1,,,4
18,Introductory Biology II,ECOL,182R,,,,3,,,4
19,Introductory Biology Lab II,ECOL,182L,,,,1,,,4
20,Tier I General Education,,,,,,3,,,4
21,Second language,,,,,,4,,,4
22,BIOC 296B,,,,,,1,,,4
23,Biochemistry I,BIOC,462A,,,,4,,,5
24,Physics I,PHYS,102,,,,3,,,5
25,Second Language,,,,,,4,,,5
26,Tier II General Education,,,,,,3,,,5
27,Biochemistry II,BIOC,462B,,,,4,,,6
28,Biochemistry of Nucleic Acids,BIOC,466,,,,4,,,6
29,Physics II,PHYS,103,,,,3,,,6
30,Second Langauge,,,,,,4,,,6
31,Tier II General Education,,,,,,3,,,6
32,Science Elective,,,,,,3,,,7
33,Tier II General Education,,,,,,3,,,7
34,Elective,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Elective,,,,,,3,,,7
37,Science Elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,3,,,8
40,Elective,,,,,,3,,,8
41,Elective,,,,,,3,,,8
