Curriculum,Biology Organismal Biology Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,A,MATH,122,,,,1,,,1
2,MATH 122B,,,,,,4,,,1
3,CHEM 151,,,,,,4,,,1
4,ENGL 101,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,or MATH 263,MATH,129,,,,3,,,2
7,CHEM 152,,,,,,4,,,2
8,ECOL 182R,,,,,,3,,,2
9,ECOL 182L,,,,,,1,,,2
10,ENGL 102,,,,,,3,,,2
11,CHEM 241A,,,,,,3,,,3
12,CHEM 243A,,,,,,1,,,3
13,MCB 181R,,,,,,3,,,3
14,MCB 181L,,,,,,1,,,3
15,Second Language,,,,,,4,,,3
16,Tier I General Education,,,,,,3,,,3
17,CHEM 241B,,,,,,3,,,4
18,CHEM 243B,,,,,,1,,,4
19,PHYS 102,,,,,,3,,,4
20,PHYS 181,,,,,,1,,,4
21,Second Language,,,,,,4,,,4
22,Lower Division Biology,,,,,,3,,,4
23,ECOL 320,,,,,,4,,,5
24,PHYS 103,,,,,,3,,,5
25,PHYS 182,,,,,,1,,,5
26,Major Elective (Physiology),,,,,,3,,,5
27,Tier I General Education,,,,,,3,,,5
28,ECOL 335,,,,,,4,,,6
29,BIOC 384,,,,,,3,,,6
30,Major elective (Genetics),,,,,,3,,,6
31,Tier I General Education,,,,,,3,,,6
32,Tier II General Education,,,,,,3,,,6
33,ECOL 302,,,,,,4,,,7
34,Major elective (Biology of Organisms),,,,,,4,,,7
35,Major elective (Ecology, Evolution & Behavior,,,,,,3,,,7
36,Major elective (Cell or  Molecular Biology),,,,,,3,,,7
37,Tier II General Education,,,,,,3,,,7
38,Major elective (Cell or  Molecular Biology),,,,,,3,,,8
39,Major elective (Ecology, Evolution & Behavior),,,,,,3,,,8
40,Major elective (Biology of Organisms),,,,,,4,,,8
41,Tier II General Education,,,,,,3,,,8
42,General elective,,,,,,1,,,8
