Curriculum,Hydrology and Atmospheric Sciences Atmospheric Sciences Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Second Semester Language Course,,,,,,4,,,1
2,GE Substantial Math Strand (First-Semester Calculus or Calculus I),,,,,,3,,,1
3,Introductory Chemistry I (Lecture + Lab),,,,,,4,,,1
4,First-Year Composition,ENGL,101-,,,,3,,,1
5,Calculus II,MATH,129-,,,,3,,,2
6,Introductory Chemistry II (Lecture + Lab),,,,,,4,,,2
7,Introductory Mechanics,PHYS,141-,,,,4,,,2
8,First-Year Composition II,ENGL,102-,,,,3,,,2
9,Vector Calculus,MATH,223-,,,,4,,,3
10,Principles of Hydrology,HWRS,350-,,,,3,,,3
11,Introduction to Remote Sensing,GEOG,330-,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Introduction to Optics and Thermodynamics,PHYS,142-,,,,3,,,3
14,Essential Computing for the Sciences,CSC,250-,,,,4,,,4
15,Introduction to Ordinary Differential Equations,MATH,254-,,,,3,,,4
16,Fundamentals of Atmospheric Sciences,ATMO,436A-,,,,3,,,4
17,Tier I General Education,,,,,,3,,,4
18,Tier I General Education,,,,,,3,,,4
19,Dynamic Meteorology I,ATMO,441A-,,,,3,,,5
20,Intro to Engineering Probability & Statistics,SIE,305-,,,,3,,,5
21,The History of Earth's Climate,GEOS,342-,,,,3,,,5
22,Tier II General Education,,,,,,3,,,5
23,Computational Elective Theme,,,,,,3,,,5
24,Technical Elective,,,,,,3,,,6
25,Dynamic Meteorology II,ATMO,441B-,,,,3,,,6
26,Technical Writing & Communication Theme,,,,,,3,,,6
27,Tier II General Education,,,,,,3,,,6
28,HAS Elective,,,,,,3,,,6
29,Physical Meteorology I,ATMO,451A-,,,,3,,,7
30,Weather Analysis and Forecasting I,ATMO,474A-,,,,3,,,7
31,HAS Elective,,,,,,3,,,7
32,Statistical Hydrology,HWRS,449-,,,,3,,,7
33,Risk Assessment for Environmental Systems,HWRS,443A-,,,,3,,,7
34,Tier II General Education,,,,,,3,,,8
35,Current Topics in Hydrology and Atmospheric Sciences,HWRS,495A-,,,,1,,,8
36,Weather Analysis and Forecasting II,ATMO,474B-,,,,3,,,8
37,Water, Policy, Law, and Economics Theme,,,,,,3,,,8
38,HAS Elective,,,,,,3,,,8
39,Tier I General Education,,,,,,3,,,8
