Curriculum,Molecular and Cellular Biology,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,A/B Calculus I,MATH,122,,,,5,,,1
3,General Chemistry I,CHEM,151,,,,4,,,1
4,Tier I General Education,,,,,,3,,,1
5,Colloquium,MCB,195,,,,1,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Calculus II or MATH 263 Intro to Stats,MATH,129,,,,3,,,2
8,General Chemistry II,CHEM,152,,,,4,,,2
9,Introductory Biology II,ECOL,182R,,,,3,,,2
10,Introductory Biology II Lab,ECOL,182L,,,,1,,,2
11,Organic Chemistry I,CHEM,241A,,,,3,,,3
12,Organic Chemistry Lab I,CHEM,243A,,,,1,,,3
13,Introductory Biology I,MCB,181R,,,,3,,,3
14,Introductory Biology I Lab,MCB,181L,,,,1,,,3
15,Tier I General Education,,,,,,3,,,3
16,Upper Division Free Elective,,,,,,3,,,3
17,Organic Chemistry II,CHEM,241B,,,,3,,,4
18,Organic Chemistry II Lab,CHEM,243B,,,,1,,,4
19,Molecular Basis of Life,MCB,301,,,,4,,,4
20,Free Elective,,,,,,3,,,4
21,Tier I General Education,,,,,,3,,,4
22,Tier I General Education,,,,,,3,,,4
23,Introductory Physics I,PHYS,102,,,,3,,,5
24,Introductory Lab I,PHYS,181,,,,1,,,5
25,Molecular Genetics,MCB,304,,,,4,,,5
26,Tier II General Education,,,,,,3,,,5
27,Sub Plan Elective Course,,,,,,3,,,5
28,Sub Plan Elective Course,,,,,,3,,,5
29,Introductory Physics II,PHYS,103,,,,3,,,6
30,Introductory Lab II,PHYS,182,,,,1,,,6
31,Cell and Developmental Biology,MCB,305,,,,4,,,6
32,Sub Plan Course,,,,,,3,,,6
33,Tier II General Education,,,,,,3,,,6
34,Sub Plan Lab or Thesis I,,,,,,3,,,7
35,Sub Plan Elective Course,,,,,,3,,,7
36,Upper Division Free Elective,,,,,,3,,,7
37,Tier II General Education,,,,,,3,,,7
38,Second Language,,,,,,4,,,7
39,Sub Plan Writing or Thesis II,,,,,,3,,,8
40,Free Elective,,,,,,3,,,8
41,Upper Division Free Elective,,,,,,3,,,8
42,Upper Division Free Elective,,,,,,3,,,8
43,Second Language,,,,,,4,,,8
