Curriculum,Statistics and Data Science,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I,MATH,122A/B,,,,4,,,1
2,First-Year Composition,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,General Elective,,,,,,1,,,1
6,Calculus II,MATH,129,,,,3,,,2
7,First-Year Composition,ENGL,102,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Vector Calculus,MATH,223,,,,4,,,3
12,Intro to Linear Algebra,MATH,313,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Intro Statistical Method,MATH,363,,,,3,,,4
17,Supporting Computer Science,,,,,,4,,,4
18,Tier I General Education,,,,,,3,,,4
19,Second Language,,,,,,4,,,4
20,Stat Computing (proposed),MATH,375,,,,3,,,5
21,Theory of Probability,MATH,464,,,,3,,,5
22,Minor course,,,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,General Elective,,,,,,3,,,5
25,Major elective,,,,,,3,,,6
26,Theory of Statistics,MATH,466,,,,3,,,6
27,Minor course,,,,,,3,,,6
28,Tier II General Education,,,,,,3,,,6
29,General Elective,,,,,,3,,,6
30,Applied Linear Models (proposed),MATH,467,,,,3,,,7
31,Tier II General Education,,,,,,3,,,7
32,Tier II General Education,,,,,,3,,,7
33,Minor course,,,,,,3,,,7
34,Minor course,,,,,,3,,,7
35,Intro to Data Science (proposed),MATH,465,,,,3,,,8
36,Minor course,,,,,,3,,,8
37,Minor course,,,,,,3,,,8
38,General Elective,,,,,,3,,,8
39,General Elective,,,,,,2,,,8
